,pl,be,uk,ru,bg,sl,cs
1645,Wyspa Aleksandra,Зямля Аляксандра I,Земля Олександра I,Земля Александра I,Земя Александър I,Aleksandrov otok,Ostrov Alexandra I.
1648,Santa Marta,Санта-Марта,Санта-Марта,Санта-Марта,Санта Марта,Santa Marta,Santa Marta
1650,Iwanowo,Іванава,Іваново,Иваново,Иваново,"Ivanovo, Rusija",Ivanovo
1658,Świnoujście,Свінауйсце,Свіноуйсьце,Свиноуйсьце,Швиноуйшче,Świnoujście,Svinoústí
1660,Hims,Хомс,Хомс,Хомс,Хомс,Homs,Homs
1661,Aleppo,Халеб,Алеппо,Алеппо,Халеб,Alep,Aleppo
1670,Segedyn,Сегед,Сегед,Сегед,Сегед,Szeged,Segedín
1685,Tyryns,Тырынф,Тиринф,Тиринф,Тиринт,Tirint,Tíryns
1687,Saint-Étienne,Сент-Эцьен,Сент-Етьєн,Сент-Этьен,Сент Етиен,Saint-Étienne,Saint-Étienne
1688,Mechelen,Мехелен,Мехелен,Мехелен,Мехелен,Mechelen,Mechelen
1691,Sybin,Сібіу,Сібіу,Сибиу,Сибиу,Sibiu,Sibiu
1769,Silistra,Сілістра,Сілістра,Силистра,Силистра,Silistra,Silistra
1775,Xi’an,Сіянь,Сіань,Сиань,Сиан,Šjan,Si-an
1780,Bath,Бат,Бат,Бат,Бат,Bath,Bath
1782,Nottingham,Нотынгем,Ноттінгем,Ноттингем,Нотингам,Nottingham,Nottingham
1784,Amboise,Амбуаз,Амбуаз,Амбуаз,Амбоаз,Amboise,Amboise
1786,Pergamon,Пергам,Пергам,Пергам,Пергам,Pergamon,Pergamon
1788,Zamek Palanka,Паланак,Замок Паланок,Паланок,Паланок,Grad Palanok,Palanok
1794,Funafuti,Фунафуці,Фунафуті,Фунафути,Фунафути,Funafuti,Funafuti
1795,Samaria,Самарыя,Самарія,Самария,Самария,Samarija,Samařsko
1796,Szolnok,Сольнак,Сольнок,Сольнок,Солнок,Szolnok,Szolnok
1797,Szombathely,Сомбатхей,Сомбатгей,Сомбатхей,Сомбатхей,Sombotel,Szombathely
1803,Galle,Гале,Ґалле,Галле,Гале,Galle,Galle
1809,Kandy,Канды,Канді,Канди,Канди,Kandi,Kandy
1810,Spa,Спа,Спа,Спа,Спа,Spa,Spa
1812,Kieżmark,Кежмарак,Кежмарок,Кежмарок,Кежмарок,Kežmarok,Kežmarok
1819,Pistoia,Пістоя,Пістоя,Пистоя,Пистоя,Pistoia,Pistoia
1820,Foggia,Фоджа,Фоджа,Фоджа,Фоджа,Foggia,Foggia
1823,Stara Zagora,Стара-Загора,Стара Загора,Стара-Загора,Стара Загора,Stara Zagora,Stara Zagora
1824,Hvar,Хвар,Хвар,Хвар,Хвар,"Hvar, Hvar",Hvar
1825,Małe Antyle,Малыя Антыльскія астравы,Малі Антильські острови,Малые Антильские острова,Малки Антили,Mali Antili,Malé Antily
1827,Sławutycz,Славутыч,Славутич,Славутич,Славутич,Slavutič,Slavutyč
1828,Stratford-upon-Avon,Стратфард-он-Эйван,Стратфорд-апон-Ейвон,Стратфорд-апон-Эйвон,Стратфорд на Ейвън,Stratford-upon-Avon,Stratford nad Avonou
1847,Delft,Дэлфт,Делфт,Делфт,Делфт,Delft,Delft
1852,Roseau,Разо,Розо,Розо,Розо,Roseau,Roseau
1854,Medellín,Медэльін,Медельїн,Медельин,Меделин,Medellín,Medellín
1857,Suczawa,Сучава,Сучава,Сучава,Сучава,Suceava,Suceava
1858,Safakis,Сфакс,Сфакс,Сфакс,Сфакс,Sfax,Sfax
1861,Semej,Семей,Семей,Семей,Семей,Semipalatinsk,Semej
1863,Sokolov,Сокалаў,Соколов,Соколов,Соколов,"Sokolov, Češka",Sokolov
1864,Bytom,Бытам,Битом,Бытом,Битом,Bytom,Bytom
1865,Zatoka Alaska,Аляска,Аляска,Аляска,Аляски залив,Aljaški zaliv,Aljašský záliv
1866,Memfis,Мемфіс,Мемфіс,Мемфис,Мемфис,"Memfis, Egipt",Mennofer
1867,Krk,Крк,Крк,Крк,Крък,Krk,Krk
1871,St. Gallen,Санкт-Гален,Санкт-Галлен,Санкт-Галлен,Санкт Гален,St. Gallen,St. Gallen
1874,Kiruna,Кіруна,Кіруна,Кируна,Кируна,Kiruna,Kiruna
1876,Pusan,Пусан,Пусан,Пусан,Пусан,Pusan,Pusan
1877,Aberdeen,Абердзін,Абердин,Абердин,Абърдийн,Aberdeen,Aberdeen
1879,Jacksonville,Джэксанвіл,Джексонвілл,Джэксонвилл,Джаксънвил,"Jacksonville, Florida",Jacksonville
1882,Cesarstwo Nicejskie,Нікейская імперыя,Нікейська імперія,Никейская империя,Никейска империя,Nikejsko cesarstvo,Nikájské císařství
1885,Riszon le-Cijjon,Рышон-ле-Цыён,Рішон-ле-Ціон,Ришон-ле-Цион,Ришон ле Цион,Rishon LeZion,Rišon le-Cijon
1889,Bristol,Брысталь,Бристоль,Бристоль,Бристъл,Bristol,Bristol
1891,Trujillo,Трухілья,Трухільйо,Трухильо,Трухильо,"Trujillo, Peru",Trujillo
1894,Państwo frankijskie,Франкская дзяржава,Франкське королівство,Франкское государство,Франкска империя,Frankovsko cesarstvo,Franská říše
1903,La Rochelle,Ла-Рашэль,Ла-Рошель,Ла-Рошель,Ла Рошел,La Rochelle,La Rochelle
1907,Chaskowo,Хаскава,Хасково,Хасково,Хасково,Haskovo,Chaskovo
1910,Irbid,Ірбід,Ірбід,Ирбид,Ирбид,Irbid,Irbid
1916,Arequipa,Арэкіпа,Арекіпа,Арекипа,Арекипа,Arequipa,Arequipa
1917,Klagenfurt am Wörthersee,Клагенфурт,Клагенфурт-ам-Вертерзе,Клагенфурт-ам-Вёртерзе,Клагенфурт,Celovec,Klagenfurt am Wörthersee
1919,Sisak,Сісак,Сисак,Сисак,Сисак,Sisek,Sisak
1920,Varaždin,Вараждзін,Вараждин,Вараждин,Вараждин,Varaždin,Varaždín
1921,Bandung,Бандунг,Бандунґ,Бандунг,Бандунг,Bandung,Bandung
1922,Język romski,Цыганская мова,Циганська мова,Цыганский язык,Цигански език,Romščina,Romština
1923,Boryspol,Барыспіль,Бориспіль,Борисполь,Бориспил,Borispol,Boryspil
1926,Szibam,Шыбам,Шибам,Шибам,Шибам,Šibam,Šibám
1927,Tucson,Тусан,Тусон,Тусон,Тусон,"Tucson, Arizona",Tucson
1928,Argos,Аргас,Аргос,Аргос,Аргос,Argos,Argos
1931,Berkeley,"Берклі, Каліфорнія",Берклі,Беркли,Бъркли,"Berkeley, Kalifornija",Berkeley
1933,Priene,Прыена,Прієна,Приена,Приене,Priena,Priéné
1934,Gabrowo,Габрава,Габрово,Габрово,Габрово,"Gabrovo, Bolgarija",Gabrovo
1941,Miasta w Serbii,Гарады Сербіі,Міста Сербії,Города Сербии,Градове в Сърбия,Seznam mest v Srbiji,Seznam měst v Srbsku
1942,Lidia,Лідыя,Лідія,Лидия,Лидия,Lidija,Lýdie
1943,Sardes,Сарды,Сарди,Сарды,Сарди,Sarde,Sardy
1945,Salta,Сальта,Сальта,Сальта,Салта,Salta,Salta
1947,Frygia,Фрыгія,Фригія,Фригия,Фригия,Frigija,Frýgie
1950,Sighișoara,Сігішаара,Сігішоара,Сигишоара,Сигишоара,Sighișoara,Sighișoara
1954,Delfy,Дэльфы,Дельфи,Дельфы,Делфи,Delfi,Delfy
1955,Kalmar,"Кальмар, Швецыя",Кальмар,Кальмар,Калмар,Kalmar,Kalmar
1958,Växjö,Векшэ,Векше,Векшё,Векшьо,Växjö,Växjö
1960,Birka,Бірка,Бірка,Бирка,Бирка,Birka,Birka
1961,Timișoara,Тымішаара,Тімішоара,Тимишоара,Тимишоара,Temišvar,Temešvár
1963,Bitynia,Віфінія,Віфінія,Вифиния,Витиния,Bitinija,Bithýnie
1967,Valence,Валанс,Валанс,Валанс,Валанс,Valence,Valence
1970,León,"Леон, Гуанахуата",Леон,Леон-де-лос-Альдама,Леон,"León, Guanajuato",León
1973,Villeurbanne,Віёрбан,Віллербанн,Вийёрбан,Вильорбан,Villeurbanne,Villeurbanne
1981,Królestwo Nawarry,Каралеўства Навара,Королівство Наварра,Наварра,Кралство Навара,Kraljevina Navarra,Navarrské království
1986,Język gagauski,Гагаузская мова,Гагаузька мова,Гагаузский язык,Гагаузки език,Gagauščina,Gagauzština
1990,Wolne Terytorium,Вольная тэрыторыя,Вільна територія,Вольная территория,Свободна територия,Svobodni teritorij,Svobodné území
1991,Calais,Кале,Кале,Кале,Кале,Calais,Calais
1993,Państwa krzyżowe,Дзяржавы крыжакоў,Держави хрестоносців,Государства крестоносцев,Кръстоносна държава,Križarske države,Křižácké státy
1998,Livorno,Ліворна,Ліворно,Ливорно,Ливорно,Livorno,Livorno
2004,Kotlina Panońska,Сярэднедунайская нізіна,Тисо-Дунайська низовина,Среднедунайская низменность,Среднодунавска низина,Panonska nižina,Panonská pánev
2005,Wielka Nizina Węgierska,Альфёльд,Великий Альфельд,Альфёльд,Алфьолд,Velika madžarska nižina,Velká dunajská nížina
2009,Celle,Цэле,Целле,Целле,Целе,Celle,Celle
2011,Nagasaki,Нагасакі,Нагасакі,Нагасаки,Нагасаки,Nagasaki,Nagasaki
2014,Traktat w Trianon,Трыянонскі дагавор,Тріанонський договір,Трианонский договор,Трианонски договор,Trianonska mirovna pogodba,Trianonská smlouva
2017,Tebriz,Тэбрыз,Тебриз,Тебриз,Тебриз,Tabriz,Tabríz
2018,Gloucester,Глостэр,Глостер,Глостер,Глостър,"Gloucester, Anglija",Gloucester
2020,Saitama,Сайтама,Сайтама,Сайтама,Сайтама,Saitama,Saitama
2021,Czerwony Las,Руды лес,Рудий ліс,Рыжий лес,Червена гора,Rdeči gozd,Rudý les
2024,Kweta,Квета,Кветта,Кветта,Куета,Quetta,Kvéta
2026,Język krymskotatarski,Крымскататарская мова,Кримськотатарська мова,Крымскотатарский язык,Кримскотатарски език,Krimska tatarščina,Krymská tatarština
2027,Aquincum,Аквінкум,Аквінкум,Аквинк,Аквинкум,Akvinkum,Aquincum
2029,Xining,Сінін,Сінін,Синин,Синин,Šining,Si-ning
